Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
CPCG0336	0.06009865116600858	0	0.04784645813953572	0	0	0.39751095100816664	0	0	0	0	0.003543647493675615	0.06392893265649756	0.01448077890831844	0.0741301999489115	0.013385296679587697	0.06330795696374411	0	0.032280811598800876	0.15100173591328386	0	0.07848457952346943	0	0.99	-0.0396	1.0954657366139422
CPCG0339	0.14092705158783186	0	0	0	0	0.3664677743111022	0.008727310545030547	0	0	0	0.057973853644173026	0.0010936183056779367	0.02954201622922206	0.05675892207353676	0.01782089467376799	0.1515771142653324	0	0	0.12799038841551724	0	0.041121055948807925	0	0.97	-0.0315	1.0888719150728738
CPCG0340	0.10855132611707673	0	0	0.015379904988328731	0	0.29673908009246014	0	0	0.060800393675258094	0	0.027984403197460633	0	0.03662207873609086	0.11785925715765194	0.06935424482461398	0.09233400833450692	0	0	0.17437530287655198	0	0	0	0.99	-0.0399	1.0921978109263117
CPCG0341	0.11246143559886349	0	0.07972941644608492	0	0	0.29579578584458255	0	0	0.004875212897992663	0	0	0.024433480635306946	0.007487836078078512	0.01434651618450687	0.05989022129115179	0.2574035917390703	0	0.008009025780735642	0.1344002784476117	0	0.001167199056014654	0	0.99	-0.0357	1.0906766121081581
CPCG0342	0.16725419897343632	0	0	0.006514431173775256	0	0.3699510044299115	0	0	0.0015070702779802273	0	0.03354936817037207	0.025976310902381422	0.0417956560157659	0.011704923185159796	0.01415404134422154	0.21748444189321972	0	0.005748745546922872	0.09668988977823453	0	0.007669918308618831	0	0.82	-0.0197	1.089913040852358
CPCG0344	0.17381193380257817	0	0.023783607864342957	0.017298862723998037	0	0.35142232358095427	0	0	0	0	0	0.06519044606400401	0.02585029515561092	0.04807865061604344	0	0.18904577096218747	0	0.05726890176625306	0.048249207464027645	0	0	0	0.91	-0.0259	1.0962900587034823
CPCG0345	0.0015080804065235416	0	0.004972278516451485	0	0	0.53130150118208	0	0	0.03308704948280271	0	0	0.002881828533857754	0.07867979014339012	0.0639931789888669	0.011114223342960838	0.11339104021609514	0.0016016566331214952	0.05256374312162286	0.09759725254750606	0	0.007308376884721155	0	0.99	-0.0347	1.1112980300409951
CPCG0346	0.1007325751713729	0	0	0	0	0.43557310827009726	0	0	0	0	0.04667907142119856	0	0.03622408205319183	0.11491494778876074	0.05256710186595116	0.1080811146231759	0	0	0.08947870721113545	0	0.015749291595116167	0	0.96	-0.0306	1.0958097809638851
CPCG0348	0.11810161379285465	0	0.002852499669878357	0.003347023050888845	0	0.3297404472281419	0	0.021762884370553695	0	0	0	0.09247447760600644	0.028203863710778484	0.032651963381524596	0.021918530351146645	0.2198129688973288	0	0.051803241893558276	0.07030537885702343	0	0.007025107190315915	0	0.99	-0.0338	1.093725566349206
CPCG0349	0	0	0.026275560449711508	0	0	0.3295587278078935	0	0.03543635300213142	0	0	0	0.03644909394921693	0.03829533837453821	0.0003	0.04665589334437865	0.12288408800989468	0	0.05598868831928737	0.2732860478341971	0	0.03486492880031468	0	0.99	-0.0417	1.099651018361205
CPCG0350	0.10188538714113571	0	0	0.0480386155518555	0	0.20108549976030426	0.05898882318029008	0	0.13245272544829065	0	0	0.00373944937044834	0.07443868946629681	0.05386243000799777	0	0.14424158010176957	0.020509330868872182	0.030376850123988604	0.03154645261318186	0.02616266234080216	0	0.07267150402476649	0.95	-0.0295	1.0867363840251714
CPCG0353	0.15170219641349766	0	0.0033078154598705748	0	0	0.2789402895134963	0	0	0	0	0	0.06884369583606705	0	0.2412602282398588	0	0.17029442810429937	0	0.053171178226141896	0.032480168206768315	0	0	0	0.88	-0.0244	1.1029767595855704
CPCG0354	0	0	0.005058525135883753	0	0	0.2551292616537001	0.0025340065009805375	0	0.043016793999821265	0	0.06644136616632361	0.05982360600303488	0.05220657734526675	0.37891667484372277	0.025358681970638054	0.03468672000640839	0	0	0.07682778637421993	0	0	0	0.98	-0.0325	1.1234982643664033
CPCG0355	0.07853734003357966	0	0.005025522032394048	0.03367745691107961	0	0.4522787198037207	0	0	0	0	0.0038157348187451787	0.050030800404742504	0.06076573757656258	0.09224034127448778	0.04784686499578465	0	0	0	0.1757814821489033	0	0	0	0.99	-0.0382	1.1106901498516135
CPCG0356	0.18760276749351157	0	0.02359417581275057	0.0634967084616255	0	0.2364997523880586	0	0	0.017153453849341346	0	0.011586491988522522	0.028226025155727027	0.06500050445842362	0.09306544934869028	0.11160087858587478	0.010310876640338994	0	0	0.12373083618460794	0	0.02813207963252728	0	0.99	-0.0368	1.1007486935350623
CPCG0357	0	0	0	0.05569961422576657	0	0.41881050488957405	0	0	0	0	0	0.06273590909798764	0.07844644774804917	0.18107106521463176	0	0	0	0.04978044230189224	0.1534560165220986	0	0	0	0.96	-0.0303	1.1092077042203554
CPCG0358	0.28636800681422064	0	0	0	0	0.28983242567406625	0.06023123766925637	0	0	0	0.05988185764420833	0	0.011969343708050525	0.07847832853623528	0	0.12380776504149624	0	0.007645930203075852	0.04288338281138097	0	0.03890172189800955	0	0.38	0.017195366965943024	1.0867273584585273
CPCG0360	0.12782586790980252	0	0.00699092115084695	0.020290799681163447	0	0.43216675181555275	0	0	0	0	0	0.09887527587814358	0.0015122720873599292	0.02625456514529174	0.027514998047784726	0.1210480198114628	0	0.09120711066197533	0.023058823911642726	0	0.02325459389897347	0	0.98	-0.0332	1.114272177092307
CPCG0361	0.22804980051095197	0	0.028072833561634897	0.021360416992669135	0	0.3073635466762463	0	0	0	0	0	0.0513199090224079	0.014966963433472457	0.07683967578749286	0	0.17304206918304266	0	0.06019436827936085	0.03879041655272096	0	0	0	0.64	-0.0037	1.092429263552715
